"long_dd","lat_dd","poccur","species","aquamaps_id"
-124.5,42.5,0.63,"Haliotis rufescens","W-Msc-445357"
-124,42.5,0.58,"Haliotis rufescens","W-Msc-445357"
-124,42,0.9,"Haliotis rufescens","W-Msc-445357"
-124,41.5,0.88,"Haliotis rufescens","W-Msc-445357"
-124,41,0.94,"Haliotis rufescens","W-Msc-445357"
-124,40.5,0.92,"Haliotis rufescens","W-Msc-445357"
-124,40,0.95,"Haliotis rufescens","W-Msc-445357"
-123.5,39.5,0.99,"Haliotis rufescens","W-Msc-445357"
-123.5,39,0.99,"Haliotis rufescens","W-Msc-445357"
-123.5,38.5,1,"Haliotis rufescens","W-Msc-445357"
-123,38.5,1,"Haliotis rufescens","W-Msc-445357"
-123,38,0.96,"Haliotis rufescens","W-Msc-445357"
-122.5,38,0.92,"Haliotis rufescens","W-Msc-445357"
-123,37.5,0.45,"Haliotis rufescens","W-Msc-445357"
-122.5,37.5,0.29,"Haliotis rufescens","W-Msc-445357"
-122,37.5,0.11,"Haliotis rufescens","W-Msc-445357"
-122,37,0.99,"Haliotis rufescens","W-Msc-445357"
-122,36.5,1,"Haliotis rufescens","W-Msc-445357"
-121.5,36.5,1,"Haliotis rufescens","W-Msc-445357"
-121.5,36,1,"Haliotis rufescens","W-Msc-445357"
-121,36,1,"Haliotis rufescens","W-Msc-445357"
-121,35.5,1,"Haliotis rufescens","W-Msc-445357"
-120.5,35,1,"Haliotis rufescens","W-Msc-445357"
-120.5,34.5,1,"Haliotis rufescens","W-Msc-445357"
-120,34.5,1,"Haliotis rufescens","W-Msc-445357"
-120,34,1,"Haliotis rufescens","W-Msc-445357"
-119.5,34,1,"Haliotis rufescens","W-Msc-445357"
-119,34,1,"Haliotis rufescens","W-Msc-445357"
-118.5,34,1,"Haliotis rufescens","W-Msc-445357"
-118,34,1,"Haliotis rufescens","W-Msc-445357"
-120,33.5,1,"Haliotis rufescens","W-Msc-445357"
-119.5,33.5,1,"Haliotis rufescens","W-Msc-445357"
-118.5,33.5,1,"Haliotis rufescens","W-Msc-445357"
-118,33.5,1,"Haliotis rufescens","W-Msc-445357"
-117.5,33.5,0.97,"Haliotis rufescens","W-Msc-445357"
-119.5,33,1,"Haliotis rufescens","W-Msc-445357"
-119,33,1,"Haliotis rufescens","W-Msc-445357"
-118.5,33,1,"Haliotis rufescens","W-Msc-445357"
-118,33,1,"Haliotis rufescens","W-Msc-445357"
-117.5,33,1,"Haliotis rufescens","W-Msc-445357"
-117,33,0.6,"Haliotis rufescens","W-Msc-445357"
-118.5,32.5,0.28,"Haliotis rufescens","W-Msc-445357"
-118,32.5,1,"Haliotis rufescens","W-Msc-445357"
-117,32.5,1,"Haliotis rufescens","W-Msc-445357"
-117,32,1,"Haliotis rufescens","W-Msc-445357"
-116.5,32,0.89,"Haliotis rufescens","W-Msc-445357"
-116.5,31.5,1,"Haliotis rufescens","W-Msc-445357"
-116.5,31,1,"Haliotis rufescens","W-Msc-445357"
-116,31,0.72,"Haliotis rufescens","W-Msc-445357"
-116,30.5,1,"Haliotis rufescens","W-Msc-445357"
-115.5,30.5,0.27,"Haliotis rufescens","W-Msc-445357"
-116,30,1,"Haliotis rufescens","W-Msc-445357"
-115.5,30,0.55,"Haliotis rufescens","W-Msc-445357"
-115.5,29.5,1,"Haliotis rufescens","W-Msc-445357"
-115,29.5,0.36,"Haliotis rufescens","W-Msc-445357"
-115,29,1,"Haliotis rufescens","W-Msc-445357"
-114.5,29,0.17,"Haliotis rufescens","W-Msc-445357"
-114.5,28.5,0.68,"Haliotis rufescens","W-Msc-445357"
-115.5,28,0.88,"Haliotis rufescens","W-Msc-445357"
-115,28,0.86,"Haliotis rufescens","W-Msc-445357"
-114.5,28,0.84,"Haliotis rufescens","W-Msc-445357"
-115,27.5,0.75,"Haliotis rufescens","W-Msc-445357"
-114.5,27.5,0.73,"Haliotis rufescens","W-Msc-445357"
